Name,Position,Age,Market Value,Club Name
Jude Bellingham,Attacking Midfield,21,€180.00m,Real Madrid
Jamal Musiala,Attacking Midfield,21,€140.00m,Bayern Munich
Florian Wirtz,Attacking Midfield,21,€140.00m,Bayer 04 Leverkusen
Rodri,Defensive Midfield,28,€130.00m,Manchester City
Federico Valverde,Central Midfield,26,€130.00m,Real Madrid
Martin Ødegaard,Attacking Midfield,26,€110.00m,Arsenal FC
Declan Rice,Central Midfield,26,€110.00m,Arsenal FC
Pedri,Central Midfield,22,€100.00m,FC Barcelona
Aurélien Tchouaméni,Defensive Midfield,25,€80.00m,Real Madrid
Eduardo Camavinga,Central Midfield,22,€80.00m,Real Madrid
Alexis Mac Allister,Central Midfield,26,€80.00m,Liverpool FC
Nicolò Barella,Central Midfield,28,€80.00m,Inter Milan
Xavi Simons,Attacking Midfield,21,€80.00m,RB Leipzig
Gavi,Central Midfield,20,€80.00m,FC Barcelona
Dominik Szoboszlai,Central Midfield,24,€75.00m,Liverpool FC
Bernardo Silva,Attacking Midfield,30,€60.00m,Manchester City
João Neves,Defensive Midfield,20,€60.00m,Paris Saint-Germain
Warren Zaïre-Emery,Central Midfield,18,€60.00m,Paris Saint-Germain
Dani Olmo,Attacking Midfield,26,€60.00m,FC Barcelona
Vitinha,Central Midfield,25,€55.00m,Paris Saint-Germain
Ryan Gravenberch,Defensive Midfield,22,€55.00m,Liverpool FC
Amadou Onana,Defensive Midfield,23,€55.00m,Aston Villa
Joshua Kimmich,Defensive Midfield,30,€50.00m,Bayern Munich
Aleksandar Pavlovic,Defensive Midfield,20,€50.00m,Bayern Munich
Fermín López,Central Midfield,21,€50.00m,FC Barcelona
Jeremie Frimpong,Right Midfield,24,€50.00m,Bayer 04 Leverkusen
Pablo Barrios,Central Midfield,21,€50.00m,Atlético de Madrid
Éderson,Central Midfield,25,€50.00m,Atalanta BC
Teun Koopmeiners,Attacking Midfield,26,€50.00m,Juventus FC
Tijjani Reijnders,Central Midfield,26,€50.00m,AC Milan
Curtis Jones,Central Midfield,24,€45.00m,Liverpool FC
Frenkie de Jong,Central Midfield,27,€45.00m,FC Barcelona
Douglas Luiz,Central Midfield,26,€45.00m,Juventus FC
Mikel Merino,Central Midfield,28,€45.00m,Arsenal FC
Morten Hjulmand,Defensive Midfield,25,€45.00m,Sporting CP
Enzo Millot,Attacking Midfield,22,€42.00m,VfB Stuttgart
Matheus Nunes,Central Midfield,26,€40.00m,Manchester City
João Palhinha,Defensive Midfield,29,€40.00m,Bayern Munich
Hakan Çalhanoğlu,Defensive Midfield,31,€40.00m,Inter Milan
Exequiel Palacios,Central Midfield,26,€40.00m,Bayer 04 Leverkusen
Conor Gallagher,Central Midfield,25,€40.00m,Atlético de Madrid
Morgan Rogers,Attacking Midfield,22,€40.00m,Aston Villa
Charles De Ketelaere,Attacking Midfield,23,€38.00m,Atalanta BC
Boubacar Kamara,Defensive Midfield,25,€38.00m,Aston Villa
Kevin De Bruyne,Attacking Midfield,33,€35.00m,Manchester City
Fabián Ruiz,Central Midfield,28,€35.00m,Paris Saint-Germain
Harvey Elliott,Central Midfield,21,€35.00m,Liverpool FC
Julian Brandt,Attacking Midfield,28,€35.00m,Borussia Dortmund
Khéphren Thuram,Central Midfield,23,€35.00m,Juventus FC
Davide Frattesi,Central Midfield,25,€32.00m,Inter Milan
Georgiy Sudakov,Attacking Midfield,22,€32.00m,Shakhtar Donetsk
Quinten Timber,Central Midfield,23,€32.00m,Feyenoord Rotterdam
Jerdy Schouten,Defensive Midfield,28,€32.00m,PSV Eindhoven
Joey Veerman,Central Midfield,26,€32.00m,PSV Eindhoven
Jacob Ramsey,Left Midfield,23,€32.00m,Aston Villa
Angelo Stiller,Defensive Midfield,23,€32.00m,VfB Stuttgart
Marc Casadó,Defensive Midfield,21,€30.00m,FC Barcelona
Ethan Nwaneri,Attacking Midfield,17,€30.00m,Arsenal FC
Youssouf Fofana,Defensive Midfield,26,€30.00m,AC Milan
Malik Tillman,Attacking Midfield,22,€30.00m,PSV Eindhoven
Aleksandr Golovin,Attacking Midfield,28,€30.00m,AS Monaco
Denis Zakaria,Defensive Midfield,28,€30.00m,AS Monaco
Youri Tielemans,Central Midfield,27,€30.00m,Aston Villa
Mateo Kovacic,Central Midfield,30,€28.00m,Manchester City
Felix Nmecha,Central Midfield,24,€28.00m,Borussia Dortmund
Xaver Schlager,Central Midfield,27,€28.00m,RB Leipzig
Marcos Llorente,Right Midfield,30,€28.00m,Atlético de Madrid
Manuel Locatelli,Defensive Midfield,27,€28.00m,Juventus FC
Orkun Kökçü,Central Midfield,24,€28.00m,SL Benfica
Konrad Laimer,Central Midfield,27,€25.00m,Bayern Munich
Arthur Vermeeren,Defensive Midfield,20,€25.00m,RB Leipzig
Rodrigo De Paul,Central Midfield,30,€25.00m,Atlético de Madrid
Angel Gomes,Attacking Midfield,24,€25.00m,LOSC Lille
Ayyoub Bouaddi,Central Midfield,17,€25.00m,LOSC Lille
Weston McKennie,Central Midfield,26,€24.00m,Juventus FC
Ismael Saibari,Central Midfield,24,€23.00m,PSV Eindhoven
John McGinn,Central Midfield,30,€23.00m,Aston Villa
Leon Goretzka,Central Midfield,30,€22.00m,Bayern Munich
Raoul Bellanova,Right Midfield,24,€22.00m,Atalanta BC
Yunus Musah,Central Midfield,22,€22.00m,AC Milan
Lewis Ferguson,Attacking Midfield,25,€22.00m,Bologna FC 1909
Oscar Gloukh,Attacking Midfield,20,€22.00m,Red Bull Salzburg
Amadou Haidara,Central Midfield,27,€20.00m,RB Leipzig
Aleix García,Central Midfield,27,€20.00m,Bayer 04 Leverkusen
Lazar Samardžić,Central Midfield,22,€20.00m,Atalanta BC
Matteo Ruggeri,Left Midfield,22,€20.00m,Atalanta BC
Fredrik Aursnes,Central Midfield,29,€20.00m,SL Benfica
Florentino,Defensive Midfield,25,€20.00m,SL Benfica
Ruben Loftus-Cheek,Central Midfield,29,€20.00m,AC Milan
Lamine Camara,Central Midfield,21,€20.00m,AS Monaco
Yangel Herrera,Central Midfield,27,€20.00m,Girona FC
Martin Baturina,Attacking Midfield,21,€20.00m,GNK Dinamo Zagreb
Nico González,Central Midfield,23,€18.00m,Manchester City
Claudio Echeverri,Attacking Midfield,19,€18.00m,Manchester City
Piotr Zieliński,Central Midfield,30,€18.00m,Inter Milan
Kristjan Asllani,Defensive Midfield,22,€18.00m,Inter Milan
Christoph Baumgartner,Attacking Midfield,25,€18.00m,RB Leipzig
Emiliano Buendía,Attacking Midfield,28,€18.00m,Bayer 04 Leverkusen
Nathan Tella,Right Midfield,25,€18.00m,Bayer 04 Leverkusen
Granit Xhaka,Defensive Midfield,32,€17.00m,Bayer 04 Leverkusen
Nicolas Seiwald,Central Midfield,23,€16.00m,RB Leipzig
Raphael Onyedika,Defensive Midfield,23,€16.00m,Club Brugge KV
Antoni Milambo,Attacking Midfield,19,€16.00m,Feyenoord Rotterdam
Marcel Sabitzer,Central Midfield,30,€15.00m,Borussia Dortmund
Carney Chukwuemeka,Central Midfield,21,€15.00m,Borussia Dortmund
Robert Andrich,Defensive Midfield,30,€15.00m,Bayer 04 Leverkusen
Leandro Barreiro,Central Midfield,25,€15.00m,SL Benfica
Thomas Partey,Defensive Midfield,31,€15.00m,Arsenal FC
Hidemasa Morita,Central Midfield,29,€15.00m,Sporting CP
James McAtee,Attacking Midfield,22,€14.00m,Manchester City
Daniel Bragança,Central Midfield,25,€14.00m,Sporting CP
Maxi Araújo,Left Midfield,25,€14.00m,Sporting CP
Mario Pasalic,Central Midfield,30,€13.00m,Atalanta BC
Giovanni Fabbian,Attacking Midfield,22,€13.00m,Bologna FC 1909
Malick Yalcouyé,Right Midfield,19,€13.00m,SK Sturm Graz
Maurits Kjaergaard,Central Midfield,21,€13.00m,Red Bull Salzburg
Wataru Endo,Defensive Midfield,32,€12.00m,Liverpool FC
Valentín Carboni,Attacking Midfield,19,€12.00m,Inter Milan
Giovanni Reyna,Attacking Midfield,22,€12.00m,Borussia Dortmund
In-beom Hwang,Central Midfield,28,€12.00m,Feyenoord Rotterdam
Calvin Stengs,Attacking Midfield,26,€12.00m,Feyenoord Rotterdam
Guus Til,Attacking Midfield,27,€12.00m,PSV Eindhoven
Soungoutou Magassa,Defensive Midfield,21,€12.00m,AS Monaco
Atakan Karazor,Defensive Midfield,28,€12.00m,VfB Stuttgart
Petar Sucic,Defensive Midfield,21,€12.00m,GNK Dinamo Zagreb
Ardon Jashari,Defensive Midfield,22,€11.00m,Club Brugge KV
Nuno Santos,Left Midfield,30,€11.00m,Sporting CP
Reo Hatate,Central Midfield,27,€11.00m,Celtic FC
Arne Engels,Central Midfield,21,€11.00m,Celtic FC
Moatasem Al-Musrati,Defensive Midfield,28,€11.00m,AS Monaco
İlkay Gündoğan,Central Midfield,34,€10.00m,Manchester City
Nicola Zalewski,Left Midfield,23,€10.00m,Inter Milan
Assan Ouédraogo,Central Midfield,18,€10.00m,RB Leipzig
Koke,Central Midfield,33,€10.00m,Atlético de Madrid
Jorginho,Defensive Midfield,33,€10.00m,Arsenal FC
Artem Bondarenko,Attacking Midfield,24,€10.00m,Shakhtar Donetsk
Marlon Gomes,Central Midfield,21,€10.00m,Shakhtar Donetsk
Jakub Moder,Central Midfield,25,€10.00m,Feyenoord Rotterdam
Michel Aebischer,Central Midfield,28,€10.00m,Bologna FC 1909
Tommaso Pobega,Central Midfield,25,€10.00m,Bologna FC 1909
Iván Martín,Attacking Midfield,26,€10.00m,Girona FC
Mahdi Camara,Central Midfield,26,€10.00m,Stade Brestois 29
Andrija Maksimovic,Attacking Midfield,17,€10.00m,Red Star Belgrade
Ngal'ayel Mukau,Defensive Midfield,20,€10.00m,LOSC Lille
Mads Bidstrup,Central Midfield,23,€9.00m,Red Bull Salzburg
Romain Faivre,Right Midfield,26,€9.00m,Stade Brestois 29
Hákon Arnar Haraldsson,Attacking Midfield,21,€9.00m,LOSC Lille
Tyler Morton,Defensive Midfield,22,€8.00m,Liverpool FC
Marco Brescianini,Central Midfield,25,€8.00m,Atalanta BC
Ross Barkley,Central Midfield,31,€8.00m,Aston Villa
Bobby Clark,Central Midfield,20,€8.00m,Red Bull Salzburg
Pierre Lees-Melou,Defensive Midfield,31,€8.00m,Stade Brestois 29
André Gomes,Central Midfield,31,€8.00m,LOSC Lille
Nabil Bentaleb,Defensive Midfield,30,€8.00m,LOSC Lille
Pablo Torre,Attacking Midfield,21,€7.50m,FC Barcelona
Callum McGregor,Central Midfield,31,€7.50m,Celtic FC
Donny van de Beek,Central Midfield,27,€7.50m,Girona FC
Pascal Groß,Central Midfield,33,€7.00m,Borussia Dortmund
Emre Can,Defensive Midfield,31,€7.00m,Borussia Dortmund
Salih Özcan,Defensive Midfield,27,€7.00m,Borussia Dortmund
Marten de Roon,Defensive Midfield,33,€7.00m,Atalanta BC
Dmytro Kryskiv,Central Midfield,24,€7.00m,Shakhtar Donetsk
Warren Bondo,Central Midfield,21,€7.00m,AC Milan
Jens Odgaard,Attacking Midfield,25,€7.00m,Bologna FC 1909
Filip Ugrinic,Central Midfield,26,€7.00m,BSC Young Boys
Joël Monteiro,Right Midfield,25,€7.00m,BSC Young Boys
Hugo Magnetti,Central Midfield,26,€7.00m,Stade Brestois 29
Ramiz Zerrouki,Defensive Midfield,26,€6.50m,Feyenoord Rotterdam
Remo Freuler,Central Midfield,32,€6.50m,Bologna FC 1909
Kaan Kairinen,Central Midfield,26,€6.50m,AC Sparta Prague
Davide Zappacosta,Right Midfield,32,€6.00m,Atalanta BC
Daniel Maldini,Attacking Midfield,23,€6.00m,Atalanta BC
Ibrahim Sulemana,Defensive Midfield,21,€6.00m,Atalanta BC
Hans Vanaken,Attacking Midfield,32,€6.00m,Club Brugge KV
Hugo Vetlesen,Central Midfield,24,€6.00m,Club Brugge KV
Jeffrey Schlupp,Left Midfield,32,€6.00m,Celtic FC
Benjamin André,Defensive Midfield,34,€6.00m,LOSC Lille
Luka Modric,Central Midfield,39,€5.00m,Real Madrid
Senny Mayulu,Central Midfield,18,€5.00m,Paris Saint-Germain
Henrikh Mkhitaryan,Central Midfield,36,€5.00m,Inter Milan
Marc Bernal,Defensive Midfield,17,€5.00m,FC Barcelona
Jonas Hofmann,Attacking Midfield,32,€5.00m,Bayer 04 Leverkusen
Thomas Lemar,Attacking Midfield,29,€5.00m,Atlético de Madrid
Renato Sanches,Central Midfield,27,€5.00m,SL Benfica
Nikola Moro,Defensive Midfield,26,€5.00m,Bologna FC 1909
Arthur Melo,Defensive Midfield,28,€5.00m,Girona FC
Otar Kiteishvili,Attacking Midfield,28,€5.00m,SK Sturm Graz
William Bøving,Left Midfield,21,€5.00m,SK Sturm Graz
Nicolás Capaldo,Central Midfield,26,€5.00m,Red Bull Salzburg
Kamory Doumbia,Attacking Midfield,21,€5.00m,Stade Brestois 29
Rade Krunic,Defensive Midfield,31,€5.00m,Red Star Belgrade
Paulo Bernardo,Central Midfield,23,€4.50m,Celtic FC
Angelo Preciado,Right Midfield,26,€4.50m,AC Sparta Prague
Mirko Ivanic,Attacking Midfield,31,€4.50m,Red Star Belgrade
Dani Ceballos,Central Midfield,28,€4.00m,Real Madrid
Isaac Babadi,Attacking Midfield,19,€4.00m,PSV Eindhoven
Jon Gorenc Stankovic,Defensive Midfield,29,€4.00m,SK Sturm Graz
Tomi Horvat,Attacking Midfield,25,€4.00m,SK Sturm Graz
Tochi Chukwuani,Central Midfield,21,€4.00m,SK Sturm Graz
Qazim Laci,Central Midfield,29,€4.00m,AC Sparta Prague
